iter	Passed	Remaining
0	1	106
1	1	94
2	2	90
3	3	82
4	4	82
5	5	80
6	5	78
7	6	76
8	7	75
9	8	74
10	9	72
11	9	71
12	11	74
13	12	73
14	12	72
15	13	71
16	14	70
17	15	69
18	15	67
19	16	66
20	17	65
21	18	64
22	19	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	56
31	26	56
32	27	56
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	42	40
51	43	40
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	27
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	72	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
