iter	Passed	Remaining
0	90	90003
1	91	45555
2	95	31703
3	97	24168
4	98	19527
5	100	16574
6	102	14544
7	104	12963
8	106	11689
9	107	10666
10	109	9816
11	110	9085
12	111	8458
13	112	7901
14	112	7412
15	113	7009
16	115	6666
17	116	6340
18	117	6043
19	117	5766
20	118	5517
21	118	5286
22	119	5078
23	120	4890
24	121	4719
25	121	4558
26	122	4413
27	123	4273
28	123	4140
29	124	4018
30	124	3902
31	125	3798
32	126	3708
33	127	3612
34	127	3525
35	128	3452
36	129	3378
37	130	3312
38	131	3239
39	132	3168
40	132	3102
41	133	3038
42	133	2977
43	134	2925
44	135	2870
45	135	2816
46	136	2764
47	136	2715
48	137	2669
49	138	2624
50	138	2583
51	139	2541
52	139	2500
53	140	2461
54	141	2424
55	141	2389
56	142	2361
57	143	2335
58	144	2307
59	145	2282
60	146	2250
61	146	2223
62	147	2198
63	148	2172
64	149	2144
65	149	2117
66	150	2091
67	150	2066
68	151	2041
69	152	2019
70	152	1996
71	153	1974
72	153	1954
73	154	1932
74	154	1911
75	155	1891
76	156	1871
77	156	1853
78	157	1838
79	158	1825
80	159	1808
81	160	1794
82	160	1776
83	161	1760
84	161	1743
85	162	1727
86	163	1711
87	163	1696
88	164	1681
89	164	1666
90	165	1653
91	166	1640
92	166	1628
93	167	1615
94	168	1602
95	168	1588
96	169	1575
97	169	1562
98	170	1549
99	170	1537
100	171	1530
101	172	1521
102	173	1513
103	174	1504
104	175	1494
105	176	1484
106	176	1475
107	177	1464
108	177	1454
109	178	1444
110	179	1434
111	179	1425
112	180	1418
113	181	1408
114	181	1399
115	182	1389
116	182	1379
117	183	1370
118	184	1362
119	184	1354
120	185	1346
121	185	1336
122	186	1328
123	187	1321
124	188	1316
125	188	1310
126	189	1303
127	190	1295
128	190	1287
129	191	1283
130	192	1276
131	193	1270
132	193	1263
133	194	1256
134	195	1249
135	195	1242
136	196	1235
137	196	1228
138	197	1222
139	197	1215
140	198	1209
141	198	1201
142	199	1195
143	200	1190
144	200	1183
145	201	1177
146	201	1171
147	202	1167
148	203	1163
149	205	1161
150	205	1155
151	206	1150
152	206	1145
153	207	1140
154	208	1134
155	208	1129
156	209	1123
157	209	1118
158	210	1112
159	211	1108
160	211	1102
161	212	1097
162	212	1092
163	213	1088
164	214	1083
165	214	1078
166	215	1073
167	215	1068
168	216	1063
169	217	1060
170	218	1058
171	219	1054
172	219	1050
173	220	1046
174	220	1041
175	221	1037
176	222	1032
177	222	1028
178	223	1023
179	223	1020
180	224	1016
181	225	1011
182	225	1008
183	226	1004
184	227	1000
185	227	996
186	228	992
187	228	988
188	229	984
189	229	980
190	231	978
191	231	975
192	232	973
193	233	970
194	234	967
195	234	963
196	235	959
197	235	955
198	236	951
199	236	947
200	237	944
201	238	940
202	238	936
203	239	934
204	240	931
205	240	927
206	241	924
207	241	920
208	242	917
209	243	914
210	244	912
211	244	909
212	245	907
213	246	904
214	247	902
215	248	901
216	249	899
217	249	896
218	250	894
219	251	891
220	252	888
221	252	885
222	253	882
223	253	878
224	254	875
225	254	872
226	255	869
227	256	867
228	256	864
229	257	861
230	257	858
231	258	856
232	259	853
233	259	850
234	260	847
235	260	844
236	261	841
237	262	839
238	263	838
239	264	836
240	264	833
241	265	831
242	265	828
243	266	826
244	267	823
245	267	820
246	268	817
247	268	815
248	269	812
249	270	810
250	270	807
251	271	805
252	271	803
253	272	800
254	273	798
255	273	795
256	274	793
257	275	790
258	275	788
259	276	785
260	277	786
261	278	784
262	279	783
263	280	780
264	280	778
265	281	775
266	281	773
267	282	770
268	282	768
269	283	766
270	284	764
271	284	762
272	285	760
273	286	757
274	286	755
275	287	753
276	287	751
277	288	748
278	288	746
279	289	743
280	289	741
281	290	739
282	291	737
283	292	736
284	293	735
285	294	734
286	294	732
287	295	730
288	296	729
289	297	728
290	298	726
291	299	725
292	299	723
293	300	721
294	301	719
295	301	717
296	302	715
297	303	714
298	304	713
299	304	711
300	305	709
301	306	707
302	306	706
303	307	704
304	308	703
305	309	701
306	310	699
307	310	698
308	311	696
